"country","population","life_expectancy","health_spend_pct_gdp","health_spend_per_person","medical_doctors_per_1000","maternal_mortality_rate","children_per_woman","child_mortality_rate","six_vacc_rate","continent","sub_region"
"Solomon Islands",528000,61.7,0.0855,227,0.224,140,4.24,25.7,0.74,"Oceania","Melanesia"
"Somalia",12000000,55,,,0.035,930,6.87,157,,"Africa","Eastern Africa"
"South Africa",51200000,56.1,0.0894,935,0.734,140,2.59,52.5,0.71,"Africa","Southern Africa"
"South Korea",49500000,80.6,0.0693,2020,1.98,21,1.19,4.13,,"Asia","Eastern Asia"
"Spain",46900000,82,0.0954,3030,3.03,6,1.37,3.85,,"Europe","Southern Europe"
"Sri Lanka",20300000,74.7,0.0294,148,0.724,32,2.2,11.6,0.99,"Asia","Southern Asia"
"St. Lucia",174000,75.6,0.087,804,1.65,35,1.54,18.6,0.95,"Americas","Caribbean"
"St. Vincent and the Grenadines",108000,72.9,0.0447,466,0.665,47,2.07,20.9,0.9,"Americas","Caribbean"
"Sudan",34500000,67.7,0.0632,141,0.28,390,4.88,75.9,0.75,"Africa","Northern Africa"
"Suriname",529000,71.4,0.0701,523,,150,2.52,24.7,,"Americas","South America"
"Sweden",9390000,81.5,0.0963,3760,3.88,5,1.99,3.06,,"Europe","Northern Europe"
"Switzerland",7810000,82.5,0.115,5390,3.82,8,1.5,4.55,,"Europe","Western Europe"
"Syria",21400000,75.8,0.0341,174,1.46,50,3.21,16.1,0.8,"Asia","Western Asia"
"Tajikistan",7530000,69.8,0.0598,128,1.7,48,3.51,43.2,0.93,"Asia","Central Asia"
"Tanzania",44300000,60.9,0.0601,83.4,0.008,460,5.43,72.3,0.91,"Africa","Eastern Africa"
"Thailand",67200000,77,0.0388,330,0.391,28,1.55,13.3,,"Asia","South-Eastern Asia"
"Timor-Leste",1090000,70,0.0912,84,0.079,330,6.23,62.3,,"Asia","South-Eastern Asia"
"Togo",6420000,59.2,0.0765,76.9,0.255,480,4.87,89.6,0.68,"Africa","Western Africa"
"Tonga",104000,71,0.0507,229,0.558,120,3.91,17.4,0.99,"Oceania","Polynesia"
"Trinidad and Tobago",1330000,73.6,0.0567,1450,1.81,82,1.81,23.4,,"Americas","Caribbean"
"Tunisia",10600000,77,0.0621,483,1.22,48,2.14,18.4,,"Africa","Northern Africa"
"Turkey",72300000,77.6,0.0674,1030,1.71,22,2.16,17.3,0.96,"Asia","Western Asia"
"Turkmenistan",5090000,69.6,0.025,199,2.27,65,2.83,59.9,0.58,"Asia","Central Asia"
"Uganda",32400000,59.1,0.0901,124,0.117,410,6.15,77.4,0.73,"Africa","Eastern Africa"
"Ukraine",45800000,70.8,0.0772,519,3.48,29,1.45,11.7,0.48,"Europe","Eastern Europe"
"United Arab Emirates",8550000,72.9,0.0366,1540,1.42,8,1.87,8.48,0.94,"Asia","Western Asia"
"United Kingdom",63500000,80.4,0.0964,3480,2.63,11,1.89,5.16,,"Europe","Northern Europe"
"United States",309000000,78.7,0.179,8360,2.44,27,1.93,7.33,,"Americas","Northern America"
"Uruguay",3360000,76.4,0.0835,1190,3.74,23,2.08,10.7,0.95,"Americas","South America"
"Uzbekistan",28500000,68.8,0.0581,184,2.54,40,2.44,36.4,0.98,"Asia","Central Asia"
"Vanuatu",236000,64,0.0525,240,0.116,90,3.5,29.4,,"Oceania","Melanesia"
"Venezuela",28400000,75.3,0.0491,589,,110,2.47,17,0.74,"Americas","South America"
"Vietnam",88000000,73.5,0.0684,215,0.71,51,1.95,23.1,0.63,"Asia","South-Eastern Asia"
"Yemen",23200000,68,0.0518,122,,290,4.67,56,0.65,"Asia","Western Asia"
"Zambia",13600000,56,0.0589,90.2,0.0614,320,5.4,80.3,0.8,"Africa","Eastern Africa"
"Zimbabwe",12700000,49.7,,,0.127,610,4.03,86.3,0.89,"Africa","Eastern Africa"
"Monaco",,,0.043,5950,,,,4,0.89,"Europe","Western Europe"
"Nauru",,,0.112,264,1.1,,,39,0.99,"Oceania","Micronesia"
"Palau",,,0.103,1410,1.61,,,23.2,,"Oceania","Micronesia"
"San Marino",,,0.0713,2850,,,,2.86,,"Europe","Southern Europe"
"St. Kitts and Nevis",,,0.0666,868,,,,14.7,0.9,"Americas","Caribbean"
"Tuvalu",,,0.175,473,1.09,,,31.5,0.85,"Oceania","Polynesia"
